新世紀エヴァンゲリオン,,
宇宙戦艦ヤマト2199,,
境界の彼方,,
ガンダムビルドファイターズ,,
ノブナガン,,
ウィッチクラフトワークス,,
バディ・コンプレックス,,
未確認で進行形,,
魔法戦争,,
鬼灯の冷徹,,
ニセコイ,,
世界征服 〜謀略のズヴィズダー〜,,
ウィザード・バリスターズ 弁魔士セシル,,
ノラガミ,,
魔法科高校の劣等生,test,test
キャプテン・アース,,
ベイビーステップ（第1期）,,
ラブライブ!（第1期）,,
ラブライブ!（第2期）,,
棺姫のチャイカ,,
ご注文はうさぎですか?,,
シドニアの騎士,,
白銀の意思 アルジェヴォルン,,
デンキ街の本屋さん,,
Fate/stay night [Unlimited Blade Works]（第1期）,,
クロスアンジュ 天使と竜の輪舞,,
グリザイアの果実,,
暁のヨナ,,
アブソリュート・デュオ,,
艦隊これくしょん -艦これ-,,
新妹魔王の契約者,,
アルドノア・ゼロ（第1期）,,
アルドノア・ゼロ（第2期）,,
純潔のマリア,,
魔法少女リリカルなのはViVid,,
ダンジョンに出会いを求めるのは間違っているだろうか,,
終わりのセラフ,,
ガンスリンガー ストラトス,,
Fate/stay night [Unlimited Blade Works]（第2期）,,
プラスティック・メモリーズ,,
血界戦線,,
ベイビーステップ（第2期）,,
アルスラーン戦記,,
ミカグラ学園組曲,,
響け! ユーフォニアム,,
トリアージX,,
グリザイアの迷宮,,
グリザイアの楽園,,
城下町のダンデライオン,,
青春×機関銃,,
GATE 自衛隊 彼の地にて、斯く戦えり（第1期）,,
スクールデイズ,,
戦姫絶唱シンフォギアGX,,
下ネタという概念が存在しない退屈な世界,,
Charlotte,,
六花の勇者,,
WORKING!!!,,
To LOVEる -とらぶる- ダークネス 2nd,,
モンスター娘のいる日常,,
空戦魔導士候補生の教官,,
干物妹!うまるちゃん,,
がっこうぐらし!,,
監獄学園,,
GOD EATER,,
アイドルマスター シンデレラガールズ（第1期）,,
アイドルマスター シンデレラガールズ（第2期）,,
ミス・モノクローム -The Animation- 3,,
ハッカドール THE あにめ〜しょん,,
影鰐-KAGEWANI-,,
ヘヴィーオブジェクト,,
学戦都市アスタリスク,,
落第騎士の英雄譚,,
終物語（第1期）,,
コメット・ルシファー,,
緋弾のアリアAA,,
櫻子さんの足下には死体が埋まっている,,
対魔導学園35試験小隊,,
新妹魔王の契約者 BURST,,
ご注文はうさぎですか??,,
無彩限のファントム・ワールド,,
ハルチカ〜ハルタとチカは青春する〜,,
少女たちは荒野を目指す,,
おしえて! ギャル子ちゃん,,
だがしかし,,
石膏ボーイズ,,
紅殻のパンドラ,,
ブブキ・ブランキ,,
ラクエンロジック,,
灰と幻想のグリムガル,,
最弱無敗の神装機竜,,
この素晴らしい世界に祝福を!,,
宇宙パトロールルル子,,
影鰐-KAGEWANI-承,,
学戦都市アスタリスク（第2期）,,
マクロスΔ,,
ばくおん!!,,
ジョーカー・ゲーム,,
あんハピ♪,,
甲鉄城のカバネリ,,
ハイスクール・フリート,,
ふらいんぐうぃっち,,
三者三葉,,
ReLIFE,,
Rewrite,,
NEW GAME!,,
甘々と稲妻,,
レガリア -The Three Sacred Stars-,,
クオリディア・コード,,
ブレイブウィッチーズ,,
うらら迷路帖,,
亜人ちゃんは語りたい,,
リトルウィッチアカデミア,,
龍の歯医者,,
Rewrite（第2期）,,
サクラクエスト,,
ひなこのーと,,
アホガール,,
はたらく細胞,,
少女☆歌劇 レヴュースタァライト,,
SSSS.GRIDMAN,,
ゾンビランドサガ,,
BanG Dream!,,
BanG Dream! 2nd Season,,
バミューダトライアングル ～カラフル・パストラーレ～,,
エガオノダイカ,,
荒野のコトブキ飛行隊,,
サクラクエスト,,
オカルティック・ナイン-,,
AIR,,
涼宮ハルヒの憂鬱,,
ARIA,,
マクロスF,,
とある魔術の禁書目録,,
とある魔術の禁書目録II,,
日常,,
STEINSGATE,,
THE IDOLM@STER,,
Fate/Zero（第1期）,,
Fate/Zero（第2期）,,
ヨルムンガンド,,
ゆゆ式,,
小林さんちのメイドラゴン,,
ゆるキャン,,
戦姫絶唱シンフォギア,,
戦姫絶唱シンフォギアG,,
川柳少女,,
ストライクウィッチーズ　501部隊発進します！,,
世話焼き狐の仙狐さん,,
戦姫絶唱シンフォギアAXZ,,
けものフレンズ,,
機動戦士ガンダムTHEORIZIN,,
ちおちゃんの通学路,,
NEWGAME!!,,
女子高生の無駄遣い,,
かぐや様は告らせたい,,
私に天使が舞い降りた,,
バミューダトライアングル ～カラフル・パストラーレ～,,
